epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,754.107,1.18232,1.01591,1.19916,0.67392,0.47669,0.55202,0.35424,1.22339,1.03238,1.19757,0.00333182,0.00333182,0.00333182
2,1764.12,1.2658,1.12617,1.25182,0.68688,0.46774,0.53719,0.33215,1.23822,1.06182,1.21199,0.00625275,0.00625275,0.00625275
3,2562.11,1.324,1.22554,1.29394,0.64783,0.40951,0.47498,0.28182,1.30651,1.14829,1.2676,0.00876118,0.00876118,0.00876118
4,3288.84,1.34274,1.2545,1.31085,0.67583,0.45075,0.52479,0.32451,1.2313,1.06364,1.2216,0.00814375,0.00814375,0.00814375
5,4317.72,1.30301,1.19551,1.2839,0.70804,0.4851,0.5663,0.35894,1.19432,0.98742,1.19332,0.007525,0.007525,0.007525
6,5077.01,1.27699,1.15423,1.2669,0.73002,0.49211,0.58356,0.37743,1.16428,0.95181,1.17365,0.00690625,0.00690625,0.00690625
7,5830.09,1.2787,1.10849,1.26186,0.74038,0.49994,0.5962,0.38694,1.15476,0.94726,1.16911,0.0062875,0.0062875,0.0062875
8,6525.52,1.25362,1.06933,1.24508,0.72409,0.52858,0.6054,0.39792,1.13978,0.91531,1.15411,0.00566875,0.00566875,0.00566875
9,7224.37,1.22911,1.0329,1.22761,0.73637,0.52096,0.61439,0.40678,1.12416,0.89353,1.14274,0.00505,0.00505,0.00505
10,7925.14,1.20836,1.00591,1.2147,0.72831,0.54666,0.63001,0.41492,1.11382,0.87747,1.13772,0.00443125,0.00443125,0.00443125
11,8618.2,1.1882,0.97724,1.20144,0.74976,0.55543,0.63501,0.42616,1.10743,0.86609,1.13171,0.0038125,0.0038125,0.0038125
12,9319.13,1.16973,0.95315,1.18846,0.75287,0.55734,0.63762,0.42734,1.09955,0.85566,1.12531,0.00319375,0.00319375,0.00319375
13,10019.2,1.15088,0.92709,1.17575,0.76577,0.54424,0.64113,0.43007,1.09521,0.84858,1.1214,0.002575,0.002575,0.002575
14,10711.7,1.12916,0.9011,1.16105,0.75651,0.55804,0.64508,0.43407,1.09167,0.84391,1.11855,0.00195625,0.00195625,0.00195625
15,11408.8,1.11242,0.87703,1.15184,0.76254,0.55826,0.64705,0.43698,1.08869,0.8403,1.1165,0.0013375,0.0013375,0.0013375
16,12108.9,1.09411,0.85384,1.13987,0.75706,0.56042,0.64915,0.43929,1.08624,0.83753,1.11434,0.00071875,0.00071875,0.00071875
