epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,822.089,1.14833,0.97415,1.18388,0.76267,0.57957,0.66541,0.44523,1.08728,0.83966,1.102,0.0670075,0.000333258,0.000333258
2,1621.03,1.1323,0.9438,1.17185,0.75396,0.58776,0.66625,0.44142,1.09118,0.84292,1.10291,0.0339662,0.000625346,0.000625346
3,2402.38,1.13675,0.95388,1.17523,0.7582,0.56669,0.65507,0.43976,1.09019,0.85134,1.108,0.000883742,0.000876184,0.000876184
4,3179.13,1.14273,0.96253,1.17678,0.76364,0.56978,0.66429,0.44313,1.08815,0.84053,1.10264,0.000814375,0.000814375,0.000814375
5,4048.14,1.13652,0.95588,1.17365,0.76453,0.57548,0.658,0.44129,1.07957,0.83349,1.09856,0.0007525,0.0007525,0.0007525
6,5029.37,1.12846,0.94388,1.16857,0.77006,0.58359,0.66852,0.45034,1.07519,0.82581,1.09451,0.000690625,0.000690625,0.000690625
7,5853.24,1.10664,0.88082,1.14276,0.73901,0.58773,0.66583,0.44905,1.07008,0.82781,1.09251,0.00062875,0.00062875,0.00062875
8,6597.17,1.09609,0.86511,1.13534,0.77391,0.57553,0.66935,0.45157,1.06646,0.82034,1.09013,0.000566875,0.000566875,0.000566875
9,7333.49,1.08662,0.85182,1.13005,0.7614,0.58456,0.67118,0.45485,1.06244,0.81478,1.08716,0.000505,0.000505,0.000505
10,8067.26,1.08004,0.84328,1.12441,0.78166,0.57579,0.67,0.45455,1.05871,0.8115,1.08346,0.000443125,0.000443125,0.000443125
11,8802.35,1.07289,0.83483,1.12187,0.77392,0.57301,0.66979,0.4577,1.05755,0.80931,1.08426,0.00038125,0.00038125,0.00038125
12,9534.22,1.06654,0.82465,1.11751,0.77496,0.58014,0.67228,0.45965,1.05554,0.80773,1.08321,0.000319375,0.000319375,0.000319375
13,10265.1,1.05992,0.81401,1.11346,0.76047,0.58805,0.67542,0.45931,1.05652,0.80612,1.08393,0.0002575,0.0002575,0.0002575
14,10999.3,1.05312,0.80637,1.10951,0.76591,0.58515,0.6749,0.46075,1.05622,0.80449,1.08346,0.000195625,0.000195625,0.000195625
15,11732.2,1.0484,0.79823,1.10545,0.75,0.59074,0.67473,0.46108,1.05536,0.80334,1.08282,0.00013375,0.00013375,0.00013375
16,12468.5,1.04267,0.79192,1.10308,0.75519,0.59316,0.67637,0.46103,1.05522,0.80269,1.08257,7.1875e-05,7.1875e-05,7.1875e-05
