epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1430.59,1.19786,1.40496,1.24018,0.58598,0.42189,0.44986,0.30845,1.22384,1.38285,1.22778,0.00333288,0.00333288,0.00333288
2,2839.62,1.32065,1.73074,1.32431,0.56467,0.40279,0.42572,0.28945,1.24893,1.43703,1.25314,0.00644623,0.00644623,0.00644623
3,4238.42,1.41444,2.00083,1.39901,0.53929,0.37057,0.39345,0.26571,1.26958,1.51184,1.28419,0.00933958,0.00933958,0.00933958
4,5640.31,1.4233,2.03499,1.41029,0.54929,0.38207,0.40605,0.27696,1.25195,1.4799,1.27282,0.00901,0.00901,0.00901
5,7048.99,1.3768,1.90807,1.37684,0.56499,0.39869,0.42869,0.2936,1.22703,1.42332,1.25317,0.00868,0.00868,0.00868
6,8448.75,1.35116,1.8414,1.35856,0.57514,0.40995,0.44118,0.30405,1.21412,1.39276,1.24342,0.00835,0.00835,0.00835
7,9858.27,1.33149,1.78885,1.34465,0.57212,0.41993,0.44809,0.30997,1.20449,1.37477,1.23535,0.00802,0.00802,0.00802
8,11269.9,1.31859,1.75255,1.33465,0.58112,0.42086,0.45233,0.31369,1.19857,1.36256,1.23048,0.00769,0.00769,0.00769
9,12702.4,1.30819,1.72488,1.32676,0.59339,0.42062,0.45626,0.31664,1.19405,1.35316,1.22627,0.00736,0.00736,0.00736
10,14119,1.29888,1.69735,1.31858,0.59656,0.42269,0.45991,0.31953,1.19053,1.34398,1.22267,0.00703,0.00703,0.00703
11,15542.4,1.29135,1.67794,1.31491,0.60237,0.42247,0.46306,0.32227,1.18703,1.33435,1.21929,0.0067,0.0067,0.0067
12,16964.1,1.28632,1.66149,1.30872,0.59895,0.42976,0.46714,0.32534,1.18337,1.32384,1.21572,0.00637,0.00637,0.00637
13,18372.8,1.27637,1.64431,1.30262,0.59279,0.43536,0.4702,0.32805,1.18036,1.31469,1.21272,0.00604,0.00604,0.00604
14,19783,1.27094,1.62486,1.29742,0.59513,0.43935,0.47381,0.33088,1.17634,1.30494,1.20891,0.00571,0.00571,0.00571
15,21208,1.26559,1.60983,1.29477,0.59158,0.4448,0.47776,0.33389,1.17324,1.29633,1.20593,0.00538,0.00538,0.00538
16,22627.6,1.25801,1.59479,1.28918,0.5843,0.45202,0.48119,0.33651,1.17024,1.28816,1.20297,0.00505,0.00505,0.00505
17,24023.4,1.25206,1.5779,1.28458,0.60363,0.44746,0.48463,0.33906,1.16754,1.28047,1.20037,0.00472,0.00472,0.00472
18,25419.5,1.24552,1.5617,1.28006,0.60711,0.45012,0.48728,0.34109,1.16566,1.27344,1.19831,0.00439,0.00439,0.00439
19,26811.8,1.24119,1.54764,1.27607,0.61853,0.44981,0.48975,0.34331,1.16336,1.26648,1.19569,0.00406,0.00406,0.00406
20,28218.1,1.23274,1.52739,1.27014,0.61849,0.45401,0.49214,0.34554,1.16122,1.26064,1.19377,0.00373,0.00373,0.00373
21,29518.3,1.23012,1.42589,1.26352,0.61341,0.45733,0.49422,0.3473,1.15773,1.25572,1.1912,0.0034,0.0034,0.0034
22,30800.6,1.22033,1.40081,1.25707,0.6131,0.45998,0.49645,0.34928,1.15503,1.25106,1.18904,0.00307,0.00307,0.00307
23,32071.6,1.20852,1.37663,1.24811,0.61889,0.46027,0.49857,0.35088,1.15245,1.24781,1.18687,0.00274,0.00274,0.00274
24,33335.5,1.19805,1.35339,1.24071,0.62335,0.46032,0.5008,0.35307,1.15067,1.24487,1.1852,0.00241,0.00241,0.00241
25,34596.6,1.18973,1.33055,1.234,0.63056,0.45906,0.50299,0.3549,1.14887,1.24259,1.18372,0.00208,0.00208,0.00208
26,35861.6,1.17951,1.30664,1.22549,0.62484,0.46223,0.50439,0.35633,1.14689,1.2411,1.1817,0.00175,0.00175,0.00175
27,37142.7,1.16743,1.28119,1.21801,0.62562,0.46507,0.50687,0.35827,1.14455,1.2389,1.17951,0.00142,0.00142,0.00142
28,38414,1.15637,1.25617,1.20919,0.62693,0.46624,0.50901,0.36039,1.14288,1.23631,1.1774,0.00109,0.00109,0.00109
29,39869.8,1.14583,1.23153,1.20393,0.6292,0.46772,0.51066,0.36209,1.14129,1.23319,1.17557,0.00076,0.00076,0.00076
30,41431.1,1.13359,1.20959,1.19612,0.63101,0.46748,0.51223,0.36352,1.13993,1.23024,1.17412,0.00043,0.00043,0.00043
