epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,233.182,2.09633,3.47731,1.88333,0.28992,0.15057,0.10203,0.04526,2.48254,3.0924,2.22168,0.000277402,0.000277402,0.000277402
2,502.635,2.12585,2.97482,1.90404,0.32885,0.14881,0.11493,0.05243,2.53109,3.05723,2.24166,0.000527593,0.000527593,0.000527593
3,787.054,2.12496,2.87868,1.90821,0.32382,0.17322,0.13276,0.05911,2.48196,2.94695,2.21384,0.000750295,0.000750295,0.000750295
4,1077.03,2.08961,2.79191,1.87564,0.21064,0.16702,0.1308,0.06116,2.45185,2.92605,2.20212,0.000709299,0.000709299,0.000709299
5,1385.77,2.04164,2.71386,1.84436,0.20711,0.19989,0.14193,0.0661,2.41734,2.92263,2.22996,0.000668066,0.000668066,0.000668066
6,1728.77,2.00929,2.65618,1.81442,0.29183,0.19236,0.15742,0.07525,2.38081,2.88281,2.13903,0.000626832,0.000626832,0.000626832
7,2091.09,1.98117,2.608,1.79487,0.26999,0.20417,0.16983,0.086,2.34021,2.76259,2.093,0.000585599,0.000585599,0.000585599
8,2376.16,1.94723,2.54004,1.76176,0.27171,0.20093,0.17202,0.08691,2.31958,2.72162,2.08443,0.000544365,0.000544365,0.000544365
9,2734.66,1.9283,2.51859,1.74965,0.25772,0.2252,0.18268,0.09121,2.2844,2.68266,2.0683,0.000503132,0.000503132,0.000503132
10,3063.26,1.90503,2.47946,1.73224,0.31982,0.21008,0.18057,0.09267,2.27096,2.65427,2.05626,0.000461898,0.000461898,0.000461898
11,3376.62,1.96981,2.50821,1.80999,0.2606,0.22097,0.18347,0.09805,2.22665,2.60306,2.0425,0.000420665,0.000420665,0.000420665
12,3667.78,1.93517,2.42312,1.7762,0.28182,0.23107,0.19295,0.10451,2.21439,2.55507,2.01954,0.000379431,0.000379431,0.000379431
13,3954.46,1.91069,2.37166,1.75203,0.27901,0.233,0.19338,0.1045,2.20963,2.56256,2.0254,0.000338198,0.000338198,0.000338198
14,4236.79,1.87349,2.32029,1.72627,0.28475,0.23047,0.19667,0.10668,2.19978,2.52817,2.02903,0.000296964,0.000296964,0.000296964
15,4517.76,1.8478,2.28395,1.70835,0.28911,0.24344,0.206,0.11399,2.16562,2.4809,2.00519,0.000255731,0.000255731,0.000255731
16,4845.92,1.8236,2.24391,1.69277,0.29661,0.24827,0.21015,0.11511,2.15711,2.46736,1.98403,0.000214497,0.000214497,0.000214497
17,5144.85,1.80025,2.204,1.67216,0.28956,0.24409,0.20647,0.11348,2.15969,2.45353,2.00377,0.000173264,0.000173264,0.000173264
18,5453.54,1.77464,2.16686,1.64547,0.29361,0.24532,0.21134,0.11467,2.15668,2.43828,1.99106,0.000132031,0.000132031,0.000132031
19,5727.65,1.75394,2.13553,1.63021,0.31142,0.24682,0.21498,0.11824,2.14085,2.41583,1.97985,9.0797e-05,9.0797e-05,9.0797e-05
20,6025.38,1.73573,2.10102,1.61948,0.3071,0.25665,0.21863,0.12164,2.13567,2.40159,1.98241,4.95635e-05,4.95635e-05,4.95635e-05
