epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,236.884,2.02209,3.9437,1.89137,0.51305,0.12888,0.10926,0.05395,2.40058,3.63126,2.18257,0.0670629,0.000332698,0.000332698
2,570.777,2.01515,3.35147,1.80226,0.34686,0.17642,0.15007,0.0778,2.33953,3.14261,2.08941,0.0340299,0.000633063,0.000633063
3,740.447,1.994,3.03794,1.78314,0.34738,0.20194,0.16264,0.08448,2.31027,2.9356,2.0525,0.00096392,0.000900428,0.000900428
4,920.519,1.95284,2.85746,1.75214,0.35584,0.20878,0.17176,0.09017,2.29017,2.83953,2.04934,0.0008515,0.0008515,0.0008515
5,1089.7,1.93155,2.76908,1.72932,0.25941,0.21773,0.18082,0.09517,2.25502,2.77798,2.00929,0.000802,0.000802,0.000802
6,1281.27,1.90779,2.71206,1.71188,0.22209,0.22932,0.18015,0.09506,2.25972,2.76202,2.01006,0.0007525,0.0007525,0.0007525
7,1457.85,1.87361,2.64886,1.69119,0.24017,0.22463,0.18627,0.10073,2.24008,2.71914,1.99333,0.000703,0.000703,0.000703
8,1648.58,1.86464,2.60778,1.67981,0.26159,0.23051,0.19017,0.10288,2.23106,2.70256,1.97855,0.0006535,0.0006535,0.0006535
9,1848.17,1.85233,2.58636,1.67984,0.25236,0.23621,0.19046,0.10316,2.20641,2.67601,1.95586,0.000604,0.000604,0.000604
10,2036.76,1.8275,2.54813,1.6645,0.25642,0.23904,0.19522,0.10583,2.21368,2.66898,1.9774,0.0005545,0.0005545,0.0005545
11,2287.23,1.90658,2.79617,1.74782,0.26026,0.23435,0.19575,0.10761,2.2016,2.64157,1.9783,0.000505,0.000505,0.000505
12,2489.77,1.87517,2.72134,1.7222,0.25982,0.24089,0.19684,0.10913,2.19297,2.60804,1.97244,0.0004555,0.0004555,0.0004555
13,2689.17,1.85678,2.6879,1.70511,0.28522,0.23761,0.201,0.11375,2.17633,2.604,1.96935,0.000406,0.000406,0.000406
14,2883.41,1.84134,2.65138,1.69531,0.27883,0.24285,0.20387,0.11571,2.17012,2.58663,1.96488,0.0003565,0.0003565,0.0003565
15,3078.92,1.82731,2.61473,1.68027,0.27061,0.24126,0.20403,0.1177,2.1574,2.568,1.95168,0.000307,0.000307,0.000307
16,3286.83,1.81372,2.59614,1.67498,0.28372,0.24544,0.20469,0.11613,2.16501,2.57074,1.95662,0.0002575,0.0002575,0.0002575
17,3486.29,1.80485,2.57275,1.66769,0.26747,0.24675,0.20595,0.11846,2.15826,2.56323,1.95755,0.000208,0.000208,0.000208
18,3684.59,1.79729,2.56103,1.65881,0.28325,0.24442,0.20873,0.11869,2.15213,2.54604,1.94551,0.0001585,0.0001585,0.0001585
19,3882.94,1.7894,2.53938,1.6498,0.28413,0.2451,0.20917,0.11883,2.15853,2.54537,1.94774,0.000109,0.000109,0.000109
20,4083.6,1.78417,2.52747,1.64541,0.27585,0.24717,0.20851,0.11931,2.14763,2.53792,1.94458,5.95e-05,5.95e-05,5.95e-05
