epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.4835,0.89222,1.96149,1.22749,0.73628,0.66216,0.73524,0.53094,0.92198,1.07192,1.21073,0.000138612,0.000138612,0.000138612
2,195.989,0.98599,1.38074,1.28431,0.65379,0.56904,0.62463,0.42749,1.05768,1.26744,1.3319,0.00026387,0.00026387,0.00026387
3,293.561,1.05504,1.4552,1.34025,0.64923,0.53098,0.59944,0.39733,1.15346,1.40527,1.42691,0.000375367,0.000375367,0.000375367
4,391.264,1.05862,1.45597,1.34684,0.62082,0.5586,0.60461,0.40548,1.14643,1.39327,1.42592,0.000355076,0.000355076,0.000355076
5,489.623,1.0262,1.36845,1.3313,0.6493,0.62211,0.65552,0.44808,1.09116,1.25126,1.36373,0.000334434,0.000334434,0.000334434
6,589.009,1.00035,1.30452,1.3099,0.69855,0.6291,0.67617,0.4736,1.06102,1.15026,1.34762,0.000313792,0.000313792,0.000313792
7,687.995,0.97852,1.2276,1.29149,0.70299,0.62037,0.68828,0.49286,1.00482,1.10354,1.30085,0.000293151,0.000293151,0.000293151
8,786.908,0.95722,1.16853,1.27088,0.71539,0.66196,0.71313,0.51492,0.99535,1.04278,1.28648,0.000272509,0.000272509,0.000272509
9,886.028,0.92282,1.11836,1.2468,0.72108,0.66081,0.71636,0.51447,0.98244,1.03347,1.28172,0.000251868,0.000251868,0.000251868
10,985.761,0.90979,1.07385,1.23879,0.73638,0.65729,0.73202,0.53714,0.95801,1.03151,1.2493,0.000231226,0.000231226,0.000231226
11,1130.54,0.88095,0.95321,1.22563,0.74784,0.65513,0.72919,0.53361,0.96011,1.03318,1.26325,0.000210585,0.000210585,0.000210585
12,1228.38,0.84607,0.86715,1.20067,0.69901,0.67714,0.71768,0.53049,0.93878,1.00333,1.23917,0.000189943,0.000189943,0.000189943
13,1325.98,0.8245,0.81503,1.18187,0.75242,0.68028,0.74517,0.55795,0.92617,0.95454,1.2318,0.000169302,0.000169302,0.000169302
14,1425.21,0.79174,0.75486,1.15621,0.77525,0.67797,0.7567,0.56825,0.91769,0.91024,1.21719,0.00014866,0.00014866,0.00014866
15,1523.88,0.76168,0.70698,1.13257,0.77659,0.68158,0.77022,0.58063,0.90206,0.88309,1.21849,0.000128019,0.000128019,0.000128019
16,1622.25,0.73473,0.66196,1.11015,0.77531,0.71277,0.77777,0.59435,0.87158,0.86606,1.19022,0.000107378,0.000107378,0.000107378
17,1721.37,0.71323,0.60978,1.09262,0.77437,0.72646,0.77949,0.59846,0.88206,0.84467,1.1979,8.6736e-05,8.6736e-05,8.6736e-05
18,1819.55,0.68796,0.5705,1.07301,0.76419,0.73001,0.77944,0.59818,0.87051,0.83876,1.18481,6.60945e-05,6.60945e-05,6.60945e-05
19,1953.64,0.66104,0.53395,1.05342,0.79941,0.73073,0.79063,0.6097,0.85753,0.81021,1.17678,4.5453e-05,4.5453e-05,4.5453e-05
20,2105,0.64223,0.50288,1.04287,0.796,0.73746,0.79628,0.61812,0.84834,0.80306,1.17481,2.48115e-05,2.48115e-05,2.48115e-05
