epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,455.255,1.05117,2.24107,1.08608,1.08672,0.62786,0.45458,0.49285,0.34615,0.61216,0.43587,0.46883,0.28678,1.098,2.34114,1.10266,1.09248,3.96244e-05,3.96244e-05,3.96244e-05
2,1083.3,1.08364,2.29823,1.13524,1.1001,0.62067,0.42807,0.46965,0.32376,0.6161,0.41212,0.44759,0.26889,1.13824,2.39707,1.15078,1.10992,7.66744e-05,7.66744e-05,7.66744e-05
3,1520.62,1.09857,2.32853,1.17313,1.11212,0.57351,0.42579,0.44389,0.30493,0.56002,0.40754,0.42081,0.25417,1.14964,2.44324,1.20807,1.11994,0.000111107,0.000111107,0.000111107
4,2074.24,1.11104,2.35113,1.18827,1.11864,0.59863,0.41704,0.44552,0.30562,0.58923,0.40499,0.42676,0.25669,1.14889,2.42704,1.19906,1.12303,0.000107219,0.000107219,0.000107219
5,2502.2,1.10341,2.33472,1.17244,1.11482,0.58854,0.41517,0.44261,0.3027,0.5821,0.40155,0.42228,0.25189,1.15178,2.43971,1.19341,1.12619,0.000103292,0.000103292,0.000103292
6,3405.5,1.09888,2.3183,1.15842,1.11183,0.5769,0.4058,0.43542,0.29787,0.56117,0.39013,0.41334,0.24638,1.15505,2.44064,1.19956,1.12558,9.9365e-05,9.9365e-05,9.9365e-05
7,3989.89,1.08918,2.2981,1.13891,1.10484,0.61322,0.41227,0.44707,0.30698,0.5961,0.39945,0.42469,0.25668,1.15137,2.44032,1.18306,1.12449,9.5438e-05,9.5438e-05,9.5438e-05
8,4628.28,1.08707,2.29075,1.12278,1.10417,0.58429,0.43827,0.45305,0.30934,0.58799,0.41143,0.43022,0.25799,1.14224,2.41326,1.16536,1.12004,9.1511e-05,9.1511e-05,9.1511e-05
9,5088.45,1.08237,2.27728,1.10631,1.09905,0.56115,0.42711,0.44837,0.30877,0.55602,0.40805,0.42641,0.25698,1.1462,2.4295,1.16976,1.11947,8.7584e-05,8.7584e-05,8.7584e-05
10,6193.14,1.07403,2.26651,1.09345,1.09568,0.5861,0.42379,0.44888,0.30954,0.57069,0.40628,0.42571,0.25602,1.14586,2.42423,1.16584,1.12019,8.3657e-05,8.3657e-05,8.3657e-05
11,6799.04,1.0632,2.24234,1.07276,1.09059,0.58757,0.42973,0.45061,0.3094,0.57918,0.41298,0.42763,0.25784,1.13892,2.41475,1.15599,1.11778,7.973e-05,7.973e-05,7.973e-05
12,7379.01,1.0583,2.22512,1.05936,1.0863,0.57527,0.42335,0.45481,0.31418,0.57233,0.40686,0.43284,0.26039,1.1386,2.43823,1.15682,1.11602,7.5803e-05,7.5803e-05,7.5803e-05
13,7807.64,1.05543,2.22628,1.04663,1.0828,0.61804,0.42329,0.45685,0.31414,0.59948,0.40789,0.43283,0.26051,1.13672,2.40936,1.1431,1.11545,7.1876e-05,7.1876e-05,7.1876e-05
14,8416.22,1.0488,2.20289,1.02876,1.07876,0.59041,0.4277,0.458,0.31706,0.58442,0.41192,0.43641,0.26425,1.13416,2.41054,1.13955,1.1135,6.7949e-05,6.7949e-05,6.7949e-05
15,8859.27,1.04427,2.19355,1.01689,1.07489,0.60147,0.42932,0.46046,0.32053,0.59433,0.40943,0.43667,0.26544,1.13031,2.4056,1.14117,1.10949,6.4022e-05,6.4022e-05,6.4022e-05
16,9410.03,1.04181,2.19167,1.00339,1.07429,0.59384,0.4346,0.45882,0.31723,0.59298,0.41374,0.43672,0.26508,1.13193,2.41304,1.13745,1.11289,6.0095e-05,6.0095e-05,6.0095e-05
17,9865.64,1.03474,2.17385,0.99492,1.07022,0.61467,0.4293,0.46446,0.32027,0.60609,0.41362,0.44077,0.26695,1.13035,2.40519,1.12815,1.10964,5.6168e-05,5.6168e-05,5.6168e-05
18,10477,1.02922,2.15764,0.98161,1.06641,0.60655,0.43801,0.46591,0.32201,0.6041,0.42191,0.44488,0.2701,1.1293,2.40152,1.12377,1.1086,5.2241e-05,5.2241e-05,5.2241e-05
19,10990.7,1.02607,2.14412,0.97269,1.06502,0.60396,0.44492,0.46961,0.32605,0.59625,0.42679,0.448,0.27135,1.12295,2.39573,1.12156,1.10357,4.8314e-05,4.8314e-05,4.8314e-05
20,11528.5,1.01465,2.12542,0.95276,1.05847,0.60214,0.43809,0.4693,0.32473,0.59146,0.42334,0.44631,0.26941,1.13036,2.40471,1.12246,1.10864,4.4387e-05,4.4387e-05,4.4387e-05
21,11953.4,1.0265,2.10869,0.89426,1.05991,0.58855,0.43526,0.46118,0.31705,0.58067,0.41833,0.4385,0.26403,1.13375,2.41537,1.14011,1.11437,4.046e-05,4.046e-05,4.046e-05
22,12473.8,1.01532,2.0858,0.86914,1.05107,0.6182,0.43332,0.46508,0.32206,0.60552,0.42263,0.44554,0.26934,1.12906,2.41205,1.13392,1.11106,3.6533e-05,3.6533e-05,3.6533e-05
23,12883,1.00401,2.0607,0.84892,1.04416,0.61209,0.43724,0.46491,0.321,0.60585,0.41901,0.44263,0.26713,1.13003,2.41344,1.13259,1.11098,3.2606e-05,3.2606e-05,3.2606e-05
