epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.7326,0.74538,1.77906,2.51994,1.12082,0.59031,0.67656,0.65239,0.5043,0.56775,0.66499,0.61529,0.43107,0.79591,1.79585,1.36801,1.15393,0.000138048,0.000138048,0.000138048
2,152.501,0.82547,1.84502,1.71573,1.16094,0.49586,0.55357,0.49101,0.33322,0.48275,0.52142,0.46883,0.28928,1.0599,2.36473,1.79357,1.37419,0.000267905,0.000267905,0.000267905
3,229.587,0.91423,2.02901,1.72289,1.21882,0.42288,0.43839,0.41102,0.2684,0.45457,0.37921,0.37514,0.21853,1.17576,2.6688,2.11636,1.50733,0.000388589,0.000388589,0.000388589
4,304.939,0.92746,2.08199,1.69729,1.23676,0.52787,0.45818,0.49444,0.32866,0.56075,0.42384,0.46592,0.28425,1.2142,2.38343,1.84284,1.52494,0.000375717,0.000375717,0.000375717
5,379.712,0.91831,2.04299,1.64282,1.22661,0.53857,0.52334,0.50323,0.33193,0.51366,0.498,0.47204,0.28195,1.12599,2.32568,1.72896,1.42721,0.000361956,0.000361956,0.000361956
6,455.781,0.88703,1.95163,1.53631,1.20444,0.50731,0.54535,0.53023,0.37686,0.48097,0.54433,0.51059,0.31698,1.07275,2.31165,1.63214,1.39378,0.000348195,0.000348195,0.000348195
7,530.937,0.8582,1.91241,1.4746,1.18652,0.55491,0.56762,0.57212,0.40103,0.53756,0.53702,0.53917,0.34256,1.04129,2.28152,1.52838,1.37997,0.000334434,0.000334434,0.000334434
8,605.506,0.84575,1.85706,1.42358,1.18199,0.52978,0.57702,0.57939,0.39897,0.50637,0.54461,0.54369,0.34447,1.0602,2.27388,1.50882,1.3715,0.000320673,0.000320673,0.000320673
9,680.73,0.82469,1.80169,1.35714,1.17351,0.55926,0.60549,0.59823,0.43281,0.54866,0.58645,0.57492,0.36096,0.9861,2.09334,1.50149,1.31652,0.000306912,0.000306912,0.000306912
10,755.18,0.79704,1.72747,1.28657,1.14945,0.60562,0.60005,0.62504,0.46147,0.6451,0.55193,0.59928,0.39445,0.95448,1.9939,1.35988,1.27913,0.000293151,0.000293151,0.000293151
11,829.678,0.78216,1.68238,1.22071,1.14388,0.68698,0.56711,0.63534,0.46862,0.67109,0.55437,0.61468,0.4104,0.89216,2.03456,1.35544,1.24351,0.00027939,0.00027939,0.00027939
12,902.148,0.75071,1.66369,1.16168,1.12125,0.66668,0.60007,0.65358,0.47953,0.62497,0.60932,0.62771,0.4122,0.92836,2.04666,1.28484,1.26156,0.000265629,0.000265629,0.000265629
13,955.849,0.7381,1.63673,1.12708,1.10939,0.70299,0.55924,0.63914,0.46567,0.65774,0.55068,0.59862,0.39257,0.94197,2.0857,1.34835,1.30056,0.000251868,0.000251868,0.000251868
14,1011.09,0.71923,1.5891,1.07353,1.09514,0.69493,0.59298,0.65985,0.48954,0.66801,0.58005,0.61964,0.41508,0.91121,1.96366,1.30308,1.25332,0.000238107,0.000238107,0.000238107
15,1066.65,0.69773,1.54917,1.03608,1.08389,0.65574,0.58,0.63259,0.47591,0.63841,0.56727,0.60845,0.41067,0.9128,2.01821,1.32942,1.26315,0.000224346,0.000224346,0.000224346
16,1120.27,0.68593,1.49755,1.00937,1.07559,0.65925,0.63409,0.67497,0.51364,0.65892,0.61807,0.6472,0.44186,0.8664,1.89222,1.21563,1.23077,0.000210585,0.000210585,0.000210585
17,1174.44,0.67532,1.47687,0.96276,1.06158,0.69393,0.6277,0.68879,0.51899,0.67784,0.61561,0.65614,0.44705,0.89839,1.95192,1.21964,1.24078,0.000196824,0.000196824,0.000196824
18,1228.7,0.62954,1.42091,0.91341,1.04348,0.68026,0.63869,0.68165,0.52074,0.67811,0.62723,0.66208,0.43524,0.84728,2.03758,1.20459,1.20356,0.000183063,0.000183063,0.000183063
19,1285.17,0.63515,1.42218,0.8929,1.04416,0.66329,0.64981,0.68451,0.51786,0.6467,0.63194,0.65318,0.44461,0.86323,1.93451,1.20607,1.20639,0.000169302,0.000169302,0.000169302
20,1342.66,0.62085,1.38305,0.84856,1.03139,0.68559,0.67744,0.71492,0.55149,0.67575,0.66548,0.68812,0.46778,0.84309,1.99,1.14511,1.20814,0.000155541,0.000155541,0.000155541
21,1411.94,0.5938,1.26689,0.68428,1.04693,0.65458,0.65351,0.68473,0.52701,0.64579,0.64075,0.66181,0.45142,0.84394,1.8601,1.18457,1.215,0.00014178,0.00014178,0.00014178
22,1473.59,0.57605,1.2051,0.62494,1.03146,0.70617,0.64681,0.68829,0.52715,0.67828,0.62382,0.65554,0.44987,0.85893,1.88502,1.17036,1.23331,0.000128019,0.000128019,0.000128019
23,1532.29,0.54937,1.15692,0.57689,1.00805,0.75514,0.62831,0.70761,0.54158,0.72735,0.61251,0.67776,0.47007,0.86578,1.91488,1.17119,1.24639,0.000114258,0.000114258,0.000114258
24,1588.81,0.52096,1.1163,0.53567,0.98462,0.71408,0.66954,0.71623,0.54949,0.69933,0.65629,0.68972,0.47786,0.86693,1.92431,1.14665,1.24728,0.000100497,0.000100497,0.000100497
25,1645.5,0.49409,1.10645,0.49798,0.96316,0.65498,0.69331,0.70542,0.54667,0.63329,0.68177,0.68297,0.47536,0.84193,1.8802,1.11407,1.22621,8.6736e-05,8.6736e-05,8.6736e-05
26,1701.87,0.48657,1.06709,0.4644,0.96461,0.71843,0.68098,0.72036,0.56795,0.70095,0.66368,0.69613,0.49046,0.81531,1.8498,1.10691,1.21439,7.2975e-05,7.2975e-05,7.2975e-05
27,1758.26,0.46364,1.03881,0.42739,0.94736,0.76525,0.6592,0.72055,0.56896,0.75193,0.6459,0.69942,0.49051,0.81099,1.88863,1.09603,1.21769,5.9214e-05,5.9214e-05,5.9214e-05
28,1815.12,0.44987,1.01233,0.40687,0.93928,0.7406,0.68143,0.73021,0.57595,0.72464,0.66034,0.69865,0.49761,0.7953,1.83999,1.07829,1.19475,4.5453e-05,4.5453e-05,4.5453e-05
29,1871.33,0.43376,1.00041,0.3872,0.92823,0.72972,0.6809,0.73519,0.58549,0.71203,0.66515,0.71205,0.50992,0.79632,1.83714,1.0937,1.21082,3.1692e-05,3.1692e-05,3.1692e-05
30,1928.37,0.42577,0.97328,0.36509,0.92277,0.71271,0.71143,0.74323,0.59499,0.70258,0.69239,0.71962,0.51301,0.78604,1.8369,1.07288,1.20203,1.7931e-05,1.7931e-05,1.7931e-05
